date,symbol,side,strike,contracts,entryAt,entryPremium,exitAt,exitPremium,pnl,balanceAfter,reason
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T06:42:21.131Z,0.99,2026-06-17T06:42:21.140Z,0.88,-44,356,"Breakeven stop: premium 0.88 ≤ protected stop 0.99 (raised to entry 0.99 after reaching +10% MFE)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T06:42:21.217Z,0.84,2026-06-17T06:42:21.244Z,0.98,56,412,"Trailing stop: premium 0.98 ≤ 15% give-back from peak 1.26 (trail 1.07; armed at +25%)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T06:42:21.290Z,0.8,2026-06-17T06:42:21.324Z,1.19,156,568,"Trailing stop: premium 1.19 ≤ 15% give-back from peak 1.41 (trail 1.20; armed at +25%)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T06:42:21.395Z,1.02,2026-06-17T06:42:21.406Z,1.1,32,600,"Trailing stop: premium 1.10 ≤ 15% give-back from peak 1.30 (trail 1.10; armed at +25%)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T06:42:21.774Z,0.98,2026-06-17T06:42:21.782Z,1.07,36,636,"Trailing stop: premium 1.07 ≤ 15% give-back from peak 1.33 (trail 1.13; armed at +26%)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T06:42:21.912Z,0.69,2026-06-17T06:42:21.924Z,0.54,-60,576,"Stop loss: premium 0.54 ≤ stop 0.55 (20% loss)"
2026-05-27,SPY260527P00750000,Put,750,4,2026-06-17T06:42:22.075Z,0.75,2026-06-17T06:42:22.094Z,0.8,20,596,"Trailing stop: premium 0.80 ≤ 15% give-back from peak 1.00 (trail 0.85; armed at +25%)"
2026-05-28,SPY260528C00751000,Call,751,4,2026-06-17T06:42:24.582Z,0.86,2026-06-17T06:42:24.585Z,0.87,4,600,"Profit-lock stop: premium 0.87 ≤ locked stop 0.90 (raised to +5% profit after reaching +15% MFE)"
2026-05-28,SPY260528C00750000,Call,750,3,2026-06-17T06:42:24.952Z,1.34,2026-06-17T06:42:24.962Z,1.33,-3,597,"Profit-lock stop: premium 1.33 ≤ locked stop 1.41 (raised to +5% profit after reaching +15% MFE)"
2026-05-28,SPY260528C00753000,Call,753,4,2026-06-17T06:42:25.649Z,0.28,2026-06-17T06:42:25.654Z,1.27,396,993,"Trailing stop: premium 1.27 ≤ 15% give-back from peak 1.54 (trail 1.31; armed at +25%)"
2026-05-28,SPY260528C00753000,Call,753,3,2026-06-17T06:42:25.663Z,1.42,2026-06-17T06:42:25.666Z,1.06,-108,885,"Stop loss: premium 1.06 ≤ stop 1.14 (20% loss)"
2026-05-28,SPY260528C00753000,Call,753,4,2026-06-17T06:42:25.768Z,1.02,2026-06-17T06:42:25.781Z,1.29,108,993,"Trailing stop: premium 1.29 ≤ 15% give-back from peak 1.53 (trail 1.30; armed at +25%)"
2026-05-28,SPY260528C00754000,Call,754,4,2026-06-17T06:42:26.011Z,0.89,2026-06-17T06:42:26.016Z,0.89,0,993,"Breakeven stop: premium 0.89 ≤ protected stop 0.89 (raised to entry 0.89 after reaching +10% MFE)"
2026-05-28,SPY260528C00755000,Call,755,4,2026-06-17T06:42:29.485Z,0.25,2026-06-17T06:42:29.493Z,0.27,8,1001,"Hard flatten: past 14:30 CT cutoff"
2026-05-28,SPY260528C00755000,Call,755,4,2026-06-17T06:42:29.513Z,0.3,2026-06-17T06:42:29.518Z,0.35,20,1021,"Hard flatten: past 14:30 CT cutoff"
2026-05-28,SPY260528C00755000,Call,755,4,2026-06-17T06:42:29.542Z,0.3,2026-06-17T06:42:29.550Z,0.33,12,1033,"Hard flatten: past 14:30 CT cutoff"
2026-05-28,SPY260528C00755000,Call,755,4,2026-06-17T06:42:29.573Z,0.33,2026-06-17T06:42:29.579Z,0.35,8,1041,"Hard flatten: past 14:30 CT cutoff"
2026-05-28,SPY260528C00755000,Call,755,4,2026-06-17T06:42:29.630Z,0.4,2026-06-17T06:42:29.637Z,0.41,4,1045,"Hard flatten: past 14:30 CT cutoff"
2026-05-28,SPY260528C00755000,Call,755,4,2026-06-17T06:42:29.660Z,0.44,2026-06-17T06:42:29.667Z,0.33,-44,1001,"Hard flatten: past 14:30 CT cutoff"
2026-06-01,SPY260601C00756000,Call,756,3,2026-06-17T06:42:38.881Z,1.4,2026-06-17T06:42:38.990Z,1.08,-96,905,"Stop loss: premium 1.08 ≤ stop 1.12 (20% loss)"
2026-06-01,SPY260601C00756000,Call,756,4,2026-06-17T06:42:39.423Z,0.96,2026-06-17T06:42:39.446Z,0.98,8,913,"Profit-lock stop: premium 0.98 ≤ locked stop 1.01 (raised to +5% profit after reaching +15% MFE)"
2026-06-01,SPY260601C00757000,Call,757,4,2026-06-17T06:42:39.716Z,0.56,2026-06-17T06:42:39.783Z,0.85,116,1029,"Trailing stop: premium 0.85 ≤ 15% give-back from peak 1.07 (trail 0.91; armed at +25%)"
2026-06-01,SPY260601C00756000,Call,756,4,2026-06-17T06:42:40.141Z,0.94,2026-06-17T06:42:40.229Z,1.26,128,1157,"Trailing stop: premium 1.26 ≤ 15% give-back from peak 1.52 (trail 1.29; armed at +24%)"
2026-06-01,SPY260601C00757000,Call,757,4,2026-06-17T06:42:40.266Z,0.71,2026-06-17T06:42:40.331Z,0.91,80,1237,"Trailing stop: premium 0.91 ≤ 15% give-back from peak 1.24 (trail 1.05; armed at +25%)"
2026-06-01,SPY260601C00758000,Call,758,4,2026-06-17T06:42:40.895Z,0.36,2026-06-17T06:42:40.924Z,0.37,4,1241,"Profit-lock stop: premium 0.37 ≤ locked stop 0.38 (raised to +5% profit after reaching +15% MFE)"
2026-06-01,SPY260601C00758000,Call,758,4,2026-06-17T06:42:41.228Z,0.93,2026-06-17T06:42:41.242Z,0.58,-140,1101,"Stop loss: premium 0.58 ≤ stop 0.74 (20% loss)"
2026-06-01,SPY260601C00758000,Call,758,4,2026-06-17T06:42:41.277Z,0.62,2026-06-17T06:42:41.353Z,1.68,424,1525,"Trailing stop: premium 1.68 ≤ 15% give-back from peak 2.02 (trail 1.72; armed at +26%)"
2026-06-02,SPY260602C00758000,Call,758,4,2026-06-17T06:42:45.487Z,0.94,2026-06-17T06:42:45.536Z,1.02,32,1557,"Trailing stop: premium 1.02 ≤ 15% give-back from peak 1.23 (trail 1.05; armed at +24%)"
2026-06-02,SPY260602C00758000,Call,758,4,2026-06-17T06:42:45.563Z,1.04,2026-06-17T06:42:45.697Z,2.1,424,1981,"Trailing stop: premium 2.10 ≤ 15% give-back from peak 2.59 (trail 2.20; armed at +25%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-17T06:42:48.411Z,0.35,2026-06-17T06:42:48.444Z,0.45,40,2021,"Trailing stop: premium 0.45 ≤ 15% give-back from peak 0.57 (trail 0.48; armed at +26%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-17T06:42:48.454Z,0.52,2026-06-17T06:42:48.477Z,0.51,-4,2017,"Profit-lock stop: premium 0.51 ≤ locked stop 0.55 (raised to +5% profit after reaching +15% MFE)"
2026-06-03,SPY260603P00756000,Put,756,3,2026-06-17T06:42:51.004Z,1.27,2026-06-17T06:42:51.070Z,1.21,-18,1999,"Profit-lock stop: premium 1.21 ≤ locked stop 1.33 (raised to +5% profit after reaching +15% MFE)"
2026-06-03,SPY260603P00756000,Put,756,4,2026-06-17T06:42:51.092Z,1.23,2026-06-17T06:42:51.122Z,1.41,72,2071,"Trailing stop: premium 1.41 ≤ 15% give-back from peak 1.81 (trail 1.54; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-17T06:42:51.278Z,1.05,2026-06-17T06:42:51.301Z,0.98,-28,2043,"Breakeven stop: premium 0.98 ≤ protected stop 1.05 (raised to entry 1.05 after reaching +10% MFE)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-17T06:42:51.312Z,1,2026-06-17T06:42:51.324Z,0.97,-12,2031,"Breakeven stop: premium 0.97 ≤ protected stop 1.00 (raised to entry 1.00 after reaching +10% MFE)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-17T06:42:51.349Z,1.15,2026-06-17T06:42:51.356Z,1.17,8,2039,"Profit-lock stop: premium 1.17 ≤ locked stop 1.21 (raised to +5% profit after reaching +15% MFE)"
2026-06-03,SPY260603P00754000,Put,754,4,2026-06-17T06:42:51.637Z,0.83,2026-06-17T06:42:51.648Z,0.94,44,2083,"Trailing stop: premium 0.94 ≤ 15% give-back from peak 1.13 (trail 0.96; armed at +25%)"
2026-06-03,SPY260603P00754000,Put,754,4,2026-06-17T06:42:51.675Z,0.95,2026-06-17T06:42:51.696Z,1.11,64,2147,"Trailing stop: premium 1.11 ≤ 15% give-back from peak 1.36 (trail 1.16; armed at +25%)"
2026-06-03,SPY260603P00756000,Put,756,4,2026-06-17T06:42:52.394Z,1,2026-06-17T06:42:52.458Z,1.21,84,2231,"Trailing stop: premium 1.21 ≤ 15% give-back from peak 1.47 (trail 1.25; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-17T06:42:52.465Z,0.71,2026-06-17T06:42:52.480Z,0.82,44,2275,"Trailing stop: premium 0.82 ≤ 15% give-back from peak 0.97 (trail 0.82; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-17T06:42:52.490Z,0.77,2026-06-17T06:42:52.513Z,0.95,72,2347,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-17T06:42:52.524Z,1,2026-06-17T06:42:52.527Z,1.01,4,2351,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-17T06:42:52.537Z,1.07,2026-06-17T06:42:52.540Z,1.02,-20,2331,"Hard flatten: past 14:30 CT cutoff"
2026-06-04,SPY260604C00753000,Call,753,3,2026-06-17T06:42:54.294Z,1.48,2026-06-17T06:42:54.306Z,1.15,-99,2232,"Stop loss: premium 1.15 ≤ stop 1.18 (20% loss)"
2026-06-04,SPY260604C00753000,Call,753,4,2026-06-17T06:42:54.652Z,1.19,2026-06-17T06:42:54.659Z,1.35,64,2296,"Trailing stop: premium 1.35 ≤ 15% give-back from peak 1.63 (trail 1.39; armed at +25%)"
2026-06-04,SPY260604C00753000,Call,753,3,2026-06-17T06:42:54.664Z,1.55,2026-06-17T06:42:54.696Z,1.64,27,2323,"Trailing stop: premium 1.64 ≤ 15% give-back from peak 1.96 (trail 1.67; armed at +25%)"
2026-06-04,SPY260604C00754000,Call,754,4,2026-06-17T06:42:55.000Z,1.15,2026-06-17T06:42:55.117Z,1.92,308,2631,"Trailing stop: premium 1.92 ≤ 15% give-back from peak 2.26 (trail 1.92; armed at +25%)"
2026-06-04,SPY260604C00756000,Call,756,4,2026-06-17T06:42:56.026Z,0.92,2026-06-17T06:42:56.048Z,0.97,20,2651,"Profit-lock stop: premium 0.97 ≤ locked stop 0.97 (raised to +5% profit after reaching +15% MFE)"
2026-06-04,SPY260604C00757000,Call,757,4,2026-06-17T06:42:56.356Z,0.52,2026-06-17T06:42:56.366Z,0.53,4,2655,"Profit-lock stop: premium 0.53 ≤ locked stop 0.55 (raised to +5% profit after reaching +15% MFE)"
2026-06-04,SPY260604C00757000,Call,757,4,2026-06-17T06:42:56.376Z,0.55,2026-06-17T06:42:56.388Z,0.43,-48,2607,"Stop loss: premium 0.43 ≤ stop 0.44 (20% loss)"
