date,symbol,side,strike,contracts,entryAt,entryPremium,exitAt,exitPremium,pnl,balanceAfter,reason
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T06:17:35.126Z,0.99,2026-06-17T06:17:35.134Z,0.88,-44,356,"Breakeven stop: premium 0.88 ≤ protected stop 0.99 (raised to entry 0.99 after reaching +10% MFE)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T06:17:35.226Z,0.84,2026-06-17T06:17:35.258Z,0.98,56,412,"Trailing stop: premium 0.98 ≤ 15% give-back from peak 1.26 (trail 1.07; armed at +25%)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T06:17:35.315Z,0.8,2026-06-17T06:17:35.389Z,1.19,156,568,"Trailing stop: premium 1.19 ≤ 15% give-back from peak 1.41 (trail 1.20; armed at +25%)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T06:17:35.496Z,1.02,2026-06-17T06:17:35.511Z,1.1,32,600,"Trailing stop: premium 1.10 ≤ 15% give-back from peak 1.30 (trail 1.10; armed at +25%)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T06:17:36.044Z,0.98,2026-06-17T06:17:36.056Z,1.07,36,636,"Trailing stop: premium 1.07 ≤ 15% give-back from peak 1.33 (trail 1.13; armed at +26%)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T06:17:36.206Z,0.69,2026-06-17T06:17:36.222Z,0.54,-60,576,"Stop loss: premium 0.54 ≤ stop 0.55 (20% loss)"
2026-05-27,SPY260527P00750000,Put,750,4,2026-06-17T06:17:36.471Z,0.75,2026-06-17T06:17:36.505Z,0.8,20,596,"Trailing stop: premium 0.80 ≤ 15% give-back from peak 1.00 (trail 0.85; armed at +25%)"
2026-05-28,SPY260528C00751000,Call,751,4,2026-06-17T06:17:39.021Z,0.86,2026-06-17T06:17:39.029Z,0.87,4,600,"Profit-lock stop: premium 0.87 ≤ locked stop 0.90 (raised to +5% profit after reaching +15% MFE)"
2026-05-28,SPY260528C00750000,Call,750,3,2026-06-17T06:17:39.422Z,1.34,2026-06-17T06:17:39.445Z,1.33,-3,597,"Profit-lock stop: premium 1.33 ≤ locked stop 1.41 (raised to +5% profit after reaching +15% MFE)"
2026-05-28,SPY260528C00753000,Call,753,4,2026-06-17T06:17:40.147Z,0.28,2026-06-17T06:17:40.165Z,1.27,396,993,"Trailing stop: premium 1.27 ≤ 15% give-back from peak 1.54 (trail 1.31; armed at +25%)"
2026-05-28,SPY260528C00753000,Call,753,3,2026-06-17T06:17:40.196Z,1.42,2026-06-17T06:17:40.205Z,1.06,-108,885,"Stop loss: premium 1.06 ≤ stop 1.14 (20% loss)"
2026-05-28,SPY260528C00753000,Call,753,4,2026-06-17T06:17:40.498Z,1.02,2026-06-17T06:17:40.546Z,1.29,108,993,"Trailing stop: premium 1.29 ≤ 15% give-back from peak 1.53 (trail 1.30; armed at +25%)"
2026-05-28,SPY260528C00754000,Call,754,4,2026-06-17T06:17:40.881Z,0.89,2026-06-17T06:17:40.894Z,0.89,0,993,"Breakeven stop: premium 0.89 ≤ protected stop 0.89 (raised to entry 0.89 after reaching +10% MFE)"
2026-06-01,SPY260601C00756000,Call,756,3,2026-06-17T06:17:51.342Z,1.4,2026-06-17T06:17:51.435Z,1.08,-96,897,"Stop loss: premium 1.08 ≤ stop 1.12 (20% loss)"
2026-06-01,SPY260601C00756000,Call,756,4,2026-06-17T06:17:51.699Z,0.96,2026-06-17T06:17:51.712Z,0.98,8,905,"Profit-lock stop: premium 0.98 ≤ locked stop 1.01 (raised to +5% profit after reaching +15% MFE)"
2026-06-01,SPY260601C00757000,Call,757,4,2026-06-17T06:17:51.895Z,0.56,2026-06-17T06:17:51.924Z,0.85,116,1021,"Trailing stop: premium 0.85 ≤ 15% give-back from peak 1.07 (trail 0.91; armed at +25%)"
2026-06-01,SPY260601C00756000,Call,756,4,2026-06-17T06:17:52.081Z,0.94,2026-06-17T06:17:52.125Z,1.26,128,1149,"Trailing stop: premium 1.26 ≤ 15% give-back from peak 1.52 (trail 1.29; armed at +24%)"
2026-06-01,SPY260601C00757000,Call,757,4,2026-06-17T06:17:52.143Z,0.71,2026-06-17T06:17:52.172Z,0.91,80,1229,"Trailing stop: premium 0.91 ≤ 15% give-back from peak 1.24 (trail 1.05; armed at +25%)"
2026-06-01,SPY260601C00758000,Call,758,4,2026-06-17T06:17:52.571Z,0.36,2026-06-17T06:17:52.590Z,0.37,4,1233,"Profit-lock stop: premium 0.37 ≤ locked stop 0.38 (raised to +5% profit after reaching +15% MFE)"
2026-06-01,SPY260601C00758000,Call,758,4,2026-06-17T06:17:52.805Z,0.93,2026-06-17T06:17:52.811Z,0.58,-140,1093,"Stop loss: premium 0.58 ≤ stop 0.74 (20% loss)"
2026-06-01,SPY260601C00758000,Call,758,4,2026-06-17T06:17:52.829Z,0.62,2026-06-17T06:17:52.876Z,1.68,424,1517,"Trailing stop: premium 1.68 ≤ 15% give-back from peak 2.02 (trail 1.72; armed at +26%)"
2026-06-02,SPY260602C00758000,Call,758,4,2026-06-17T06:17:56.576Z,0.94,2026-06-17T06:17:56.603Z,1.02,32,1549,"Trailing stop: premium 1.02 ≤ 15% give-back from peak 1.23 (trail 1.05; armed at +24%)"
2026-06-02,SPY260602C00758000,Call,758,4,2026-06-17T06:17:56.620Z,1.04,2026-06-17T06:17:56.734Z,2.1,424,1973,"Trailing stop: premium 2.10 ≤ 15% give-back from peak 2.59 (trail 2.20; armed at +25%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-17T06:17:58.469Z,0.35,2026-06-17T06:17:58.503Z,0.45,40,2013,"Trailing stop: premium 0.45 ≤ 15% give-back from peak 0.57 (trail 0.48; armed at +26%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-17T06:17:58.512Z,0.52,2026-06-17T06:17:58.533Z,0.51,-4,2009,"Profit-lock stop: premium 0.51 ≤ locked stop 0.55 (raised to +5% profit after reaching +15% MFE)"
