date,symbol,side,strike,contracts,entryAt,entryPremium,exitAt,exitPremium,pnl,balanceAfter,reason
2026-05-26,SPY260526P00750000,Put,750,4,2026-06-17T04:29:37.472Z,1.07,2026-06-17T04:29:37.489Z,1.37,120,620,"Trailing stop: premium 1.37 ≤ 15% give-back from peak 1.65 (trail 1.40; armed at +25%)"
2026-05-26,SPY260526P00750000,Put,750,4,2026-06-17T04:29:37.491Z,1.25,2026-06-17T04:29:37.507Z,1.75,200,820,"Trailing stop: premium 1.75 ≤ 15% give-back from peak 2.12 (trail 1.80; armed at +25%)"
2026-05-26,SPY260526P00749000,Put,749,4,2026-06-17T04:29:37.988Z,0.97,2026-06-17T04:29:37.999Z,0.76,-84,736,"Stop loss: premium 0.76 ≤ stop 0.78 (20% loss)"
2026-05-26,SPY260526P00749000,Put,749,4,2026-06-17T04:29:38.081Z,0.96,2026-06-17T04:29:38.085Z,0.97,4,740,"Profit-lock stop: premium 0.97 ≤ locked stop 1.01 (raised to +5% profit after reaching +15% MFE)"
2026-05-26,SPY260526P00749000,Put,749,4,2026-06-17T04:29:38.089Z,0.99,2026-06-17T04:29:38.092Z,0.96,-12,728,"Breakeven stop: premium 0.96 ≤ protected stop 0.99 (raised to entry 0.99 after reaching +10% MFE)"
2026-05-26,SPY260526P00749000,Put,749,4,2026-06-17T04:29:38.131Z,0.9,2026-06-17T04:29:38.134Z,0.84,-24,704,"Breakeven stop: premium 0.84 ≤ protected stop 0.90 (raised to entry 0.90 after reaching +10% MFE)"
2026-05-26,SPY260526P00750000,Put,750,4,2026-06-17T04:29:38.297Z,0.69,2026-06-17T04:29:38.302Z,0.67,-8,696,"Breakeven stop: premium 0.67 ≤ protected stop 0.69 (raised to entry 0.69 after reaching +10% MFE)"
2026-05-26,SPY260526P00750000,Put,750,4,2026-06-17T04:29:38.310Z,0.69,2026-06-17T04:29:38.317Z,0.66,-12,684,"Profit-lock stop: premium 0.66 ≤ locked stop 0.72 (raised to +5% profit after reaching +15% MFE)"
2026-05-26,SPY260526P00750000,Put,750,4,2026-06-17T04:29:38.322Z,0.68,2026-06-17T04:29:38.350Z,0.87,76,760,"Trailing stop: premium 0.87 ≤ 15% give-back from peak 1.06 (trail 0.90; armed at +25%)"
2026-05-26,SPY260526P00749000,Put,749,4,2026-06-17T04:29:38.380Z,0.46,2026-06-17T04:29:38.384Z,0.49,12,772,"Trailing stop: premium 0.49 ≤ 15% give-back from peak 0.61 (trail 0.52; armed at +26%)"
2026-05-26,SPY260526P00749000,Put,749,4,2026-06-17T04:29:38.425Z,0.38,2026-06-17T04:29:38.433Z,0.28,-40,732,"Stop loss: premium 0.28 ≤ stop 0.30 (20% loss)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T04:29:40.833Z,0.99,2026-06-17T04:29:40.835Z,0.88,-44,688,"Breakeven stop: premium 0.88 ≤ protected stop 0.99 (raised to entry 0.99 after reaching +10% MFE)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T04:29:40.865Z,0.84,2026-06-17T04:29:40.873Z,0.98,56,744,"Trailing stop: premium 0.98 ≤ 15% give-back from peak 1.26 (trail 1.07; armed at +25%)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T04:29:40.892Z,0.8,2026-06-17T04:29:40.914Z,1.19,156,900,"Trailing stop: premium 1.19 ≤ 15% give-back from peak 1.41 (trail 1.20; armed at +25%)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T04:29:40.942Z,1.02,2026-06-17T04:29:40.949Z,1.1,32,932,"Trailing stop: premium 1.10 ≤ 15% give-back from peak 1.30 (trail 1.10; armed at +25%)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T04:29:41.150Z,0.98,2026-06-17T04:29:41.153Z,1.07,36,968,"Trailing stop: premium 1.07 ≤ 15% give-back from peak 1.33 (trail 1.13; armed at +26%)"
2026-05-27,SPY260527P00749000,Put,749,4,2026-06-17T04:29:41.209Z,0.69,2026-06-17T04:29:41.215Z,0.54,-60,908,"Stop loss: premium 0.54 ≤ stop 0.55 (20% loss)"
2026-05-27,SPY260527P00750000,Put,750,4,2026-06-17T04:29:41.306Z,0.75,2026-06-17T04:29:41.322Z,0.8,20,928,"Trailing stop: premium 0.80 ≤ 15% give-back from peak 1.00 (trail 0.85; armed at +25%)"
2026-05-28,SPY260528C00751000,Call,751,4,2026-06-17T04:29:43.893Z,0.86,2026-06-17T04:29:43.898Z,0.87,4,932,"Profit-lock stop: premium 0.87 ≤ locked stop 0.90 (raised to +5% profit after reaching +15% MFE)"
2026-05-28,SPY260528C00750000,Call,750,3,2026-06-17T04:29:44.054Z,1.34,2026-06-17T04:29:44.058Z,1.33,-3,929,"Profit-lock stop: premium 1.33 ≤ locked stop 1.41 (raised to +5% profit after reaching +15% MFE)"
2026-05-28,SPY260528C00753000,Call,753,4,2026-06-17T04:29:44.749Z,0.28,2026-06-17T04:29:44.751Z,1.27,396,1325,"Trailing stop: premium 1.27 ≤ 15% give-back from peak 1.54 (trail 1.31; armed at +25%)"
2026-05-28,SPY260528C00753000,Call,753,3,2026-06-17T04:29:44.757Z,1.42,2026-06-17T04:29:44.758Z,1.06,-108,1217,"Stop loss: premium 1.06 ≤ stop 1.14 (20% loss)"
2026-05-28,SPY260528C00753000,Call,753,4,2026-06-17T04:29:44.836Z,1.02,2026-06-17T04:29:44.848Z,1.29,108,1325,"Trailing stop: premium 1.29 ≤ 15% give-back from peak 1.53 (trail 1.30; armed at +25%)"
2026-05-28,SPY260528C00754000,Call,754,4,2026-06-17T04:29:45.297Z,0.89,2026-06-17T04:29:45.300Z,0.89,0,1325,"Breakeven stop: premium 0.89 ≤ protected stop 0.89 (raised to entry 0.89 after reaching +10% MFE)"
2026-06-01,SPY260601C00756000,Call,756,3,2026-06-17T04:29:51.686Z,1.4,2026-06-17T04:29:51.704Z,1.08,-96,1229,"Stop loss: premium 1.08 ≤ stop 1.12 (20% loss)"
2026-06-01,SPY260601C00756000,Call,756,4,2026-06-17T04:29:51.799Z,0.96,2026-06-17T04:29:51.824Z,0.98,8,1237,"Profit-lock stop: premium 0.98 ≤ locked stop 1.01 (raised to +5% profit after reaching +15% MFE)"
2026-06-01,SPY260601C00757000,Call,757,4,2026-06-17T04:29:52.335Z,0.56,2026-06-17T04:29:52.348Z,0.85,116,1353,"Trailing stop: premium 0.85 ≤ 15% give-back from peak 1.07 (trail 0.91; armed at +25%)"
2026-06-01,SPY260601C00756000,Call,756,4,2026-06-17T04:29:52.419Z,0.94,2026-06-17T04:29:52.453Z,1.26,128,1481,"Trailing stop: premium 1.26 ≤ 15% give-back from peak 1.52 (trail 1.29; armed at +24%)"
2026-06-01,SPY260601C00757000,Call,757,4,2026-06-17T04:29:52.464Z,0.71,2026-06-17T04:29:52.479Z,0.91,80,1561,"Trailing stop: premium 0.91 ≤ 15% give-back from peak 1.24 (trail 1.05; armed at +25%)"
