date,symbol,side,strike,contracts,entryAt,entryPremium,exitAt,exitPremium,pnl,balanceAfter,reason
2026-06-15,SPY260615C00754000,Call,754,4,2026-06-17T06:53:55.758Z,1.12,2026-06-17T06:53:55.766Z,1.07,-20,1306.24,"Breakeven stop: premium 1.07 ≤ protected stop 1.12 (raised to entry 1.12 after reaching +10% MFE)"
2026-06-15,SPY260615C00753000,Call,753,3,2026-06-17T06:53:55.808Z,1.38,2026-06-17T06:53:55.819Z,1.44,18,1324.24,"Profit-lock stop: premium 1.44 ≤ locked stop 1.45 (raised to +5% profit after reaching +15% MFE)"
2026-06-15,SPY260615C00753000,Call,753,3,2026-06-17T06:53:55.829Z,1.35,2026-06-17T06:53:55.959Z,3.24,567,1891.24,"Trailing stop: premium 3.24 ≤ 15% give-back from peak 3.83 (trail 3.26; armed at +25%)"
2026-06-15,SPY260615C00755000,Call,755,4,2026-06-17T06:53:57.676Z,0.5,2026-06-17T06:53:57.708Z,0.65,60,1951.24,"Trailing stop: premium 0.65 ≤ 15% give-back from peak 0.77 (trail 0.65; armed at +26%)"
2026-06-16,SPY260616P00754000,Put,754,4,2026-06-17T06:54:00.261Z,1,2026-06-17T06:54:00.287Z,1.8,320,2271.24,"Trailing stop: premium 1.80 ≤ 15% give-back from peak 2.26 (trail 1.92; armed at +25%)"
2026-06-16,SPY260616P00753000,Put,753,4,2026-06-17T06:54:00.487Z,1.17,2026-06-17T06:54:00.494Z,1.23,24,2295.24,"Profit-lock stop: premium 1.23 ≤ locked stop 1.23 (raised to +5% profit after reaching +15% MFE)"
2026-06-16,SPY260616P00753000,Put,753,4,2026-06-17T06:54:00.551Z,1,2026-06-17T06:54:00.563Z,1.09,36,2331.24,"Trailing stop: premium 1.09 ≤ 15% give-back from peak 1.29 (trail 1.10; armed at +25%)"
2026-06-16,SPY260616P00752000,Put,752,4,2026-06-17T06:54:00.765Z,0.95,2026-06-17T06:54:00.770Z,0.73,-88,2243.24,"Stop loss: premium 0.73 ≤ stop 0.76 (20% loss)"
2026-06-16,SPY260616P00752000,Put,752,4,2026-06-17T06:54:00.809Z,0.79,2026-06-17T06:54:00.819Z,1,84,2327.24,"Trailing stop: premium 1.00 ≤ 15% give-back from peak 1.20 (trail 1.02; armed at +25%)"
2026-06-16,SPY260616P00753000,Put,753,4,2026-06-17T06:54:00.919Z,0.71,2026-06-17T06:54:00.926Z,0.69,-8,2319.24,"Breakeven stop: premium 0.69 ≤ protected stop 0.71 (raised to entry 0.71 after reaching +10% MFE)"
2026-06-16,SPY260616P00753000,Put,753,4,2026-06-17T06:54:00.968Z,0.71,2026-06-17T06:54:00.975Z,0.69,-8,2311.24,"Profit-lock stop: premium 0.69 ≤ locked stop 0.75 (raised to +5% profit after reaching +15% MFE)"
2026-06-16,SPY260616P00753000,Put,753,4,2026-06-17T06:54:01.081Z,1.07,2026-06-17T06:54:01.090Z,1.11,16,2327.24,"Profit-lock stop: premium 1.11 ≤ locked stop 1.12 (raised to +5% profit after reaching +15% MFE)"
2026-06-16,SPY260616P00752000,Put,752,4,2026-06-17T06:54:01.110Z,0.66,2026-06-17T06:54:01.116Z,0.63,-12,2315.24,"Breakeven stop: premium 0.63 ≤ protected stop 0.66 (raised to entry 0.66 after reaching +10% MFE)"
2026-06-16,SPY260616P00752000,Put,752,4,2026-06-17T06:54:01.120Z,0.66,2026-06-17T06:54:01.134Z,0.5,-64,2251.24,"Stop loss: premium 0.50 ≤ stop 0.53 (20% loss)"
2026-06-16,SPY260616P00752000,Put,752,4,2026-06-17T06:54:01.160Z,0.56,2026-06-17T06:54:01.166Z,0.69,52,2303.24,"Trailing stop: premium 0.69 ≤ 15% give-back from peak 0.84 (trail 0.71; armed at +25%)"
2026-06-16,SPY260616P00752000,Put,752,4,2026-06-17T06:54:01.202Z,0.67,2026-06-17T06:54:01.210Z,0.65,-8,2295.24,"Breakeven stop: premium 0.65 ≤ protected stop 0.67 (raised to entry 0.67 after reaching +10% MFE)"
2026-06-16,SPY260616P00752000,Put,752,4,2026-06-17T06:54:01.215Z,0.69,2026-06-17T06:54:01.226Z,0.84,60,2355.24,"Trailing stop: premium 0.84 ≤ 15% give-back from peak 1.04 (trail 0.88; armed at +25%)"
2026-06-16,SPY260616P00752000,Put,752,4,2026-06-17T06:54:01.243Z,0.74,2026-06-17T06:54:01.247Z,0.72,-8,2347.24,"Profit-lock stop: premium 0.72 ≤ locked stop 0.78 (raised to +5% profit after reaching +15% MFE)"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-17T06:54:01.835Z,0.29,2026-06-17T06:54:01.843Z,0.32,12,2359.24,"Trailing stop: premium 0.32 ≤ 15% give-back from peak 0.42 (trail 0.36; armed at +24%)"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-17T06:54:01.848Z,0.3,2026-06-17T06:54:01.852Z,0.31,4,2363.24,"Profit-lock stop: premium 0.31 ≤ locked stop 0.32 (raised to +5% profit after reaching +15% MFE)"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-17T06:54:01.861Z,0.39,2026-06-17T06:54:01.873Z,0.86,188,2551.24,"Trailing stop: premium 0.86 ≤ 15% give-back from peak 1.07 (trail 0.91; armed at +26%)"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-17T06:54:01.961Z,0.49,2026-06-17T06:54:01.964Z,0.55,24,2575.24,"Hard flatten: past 14:30 CT cutoff"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-17T06:54:01.970Z,0.71,2026-06-17T06:54:01.975Z,0.62,-36,2539.24,"Hard flatten: past 14:30 CT cutoff"
