date,symbol,side,strike,contracts,entryAt,entryPremium,exitAt,exitPremium,pnl,balanceAfter,reason
2026-06-01,SPY260601C00756000,Call,756,2,2026-06-23T00:42:01.087Z,1.4,2026-06-23T00:42:01.090Z,1.08,-64,336,"Stop loss: premium 1.08 ≤ stop 1.12 (20% loss)"
2026-06-01,SPY260601C00756000,Call,756,3,2026-06-23T00:42:01.212Z,0.96,2026-06-23T00:42:01.214Z,0.98,6,342,"Profit-lock stop: premium 0.98 ≤ locked stop 1.01 (raised to +5% profit after reaching +15% MFE)"
2026-06-01,SPY260601C00757000,Call,757,4,2026-06-23T00:42:01.423Z,0.56,2026-06-23T00:42:01.427Z,0.85,116,458,"Trailing stop: premium 0.85 ≤ 15% give-back from peak 1.07 (trail 0.91; armed at +25%)"
2026-06-01,SPY260601C00756000,Call,756,4,2026-06-23T00:42:01.537Z,0.94,2026-06-23T00:42:01.540Z,1.26,128,586,"Trailing stop: premium 1.26 ≤ 15% give-back from peak 1.52 (trail 1.29; armed at +24%)"
2026-06-01,SPY260601C00757000,Call,757,4,2026-06-23T00:42:01.565Z,0.71,2026-06-23T00:42:01.566Z,0.91,80,666,"Trailing stop: premium 0.91 ≤ 15% give-back from peak 1.24 (trail 1.05; armed at +25%)"
2026-06-01,SPY260601C00758000,Call,758,4,2026-06-23T00:42:01.831Z,0.36,2026-06-23T00:42:01.832Z,0.37,4,670,"Profit-lock stop: premium 0.37 ≤ locked stop 0.38 (raised to +5% profit after reaching +15% MFE)"
2026-06-01,SPY260601C00758000,Call,758,4,2026-06-23T00:42:02.150Z,0.93,2026-06-23T00:42:02.150Z,0.58,-140,530,"Stop loss: premium 0.58 ≤ stop 0.74 (20% loss)"
2026-06-02,SPY260602C00758000,Call,758,4,2026-06-23T00:42:04.282Z,0.94,2026-06-23T00:42:04.284Z,1.02,32,562,"Trailing stop: premium 1.02 ≤ 15% give-back from peak 1.23 (trail 1.05; armed at +24%)"
2026-06-02,SPY260602C00758000,Call,758,4,2026-06-23T00:42:04.290Z,1.04,2026-06-23T00:42:04.298Z,2.1,424,986,"Trailing stop: premium 2.10 ≤ 15% give-back from peak 2.59 (trail 2.20; armed at +25%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-23T00:42:05.973Z,0.35,2026-06-23T00:42:05.980Z,0.45,40,1026,"Trailing stop: premium 0.45 ≤ 15% give-back from peak 0.57 (trail 0.48; armed at +26%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-23T00:42:05.985Z,0.52,2026-06-23T00:42:05.986Z,0.51,-4,1022,"Profit-lock stop: premium 0.51 ≤ locked stop 0.55 (raised to +5% profit after reaching +15% MFE)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-23T00:42:06.211Z,0.47,2026-06-23T00:42:06.212Z,0.5,12,1034,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00756000,Put,756,3,2026-06-23T00:42:08.427Z,1.27,2026-06-23T00:42:08.429Z,1.21,-18,1016,"Profit-lock stop: premium 1.21 ≤ locked stop 1.33 (raised to +5% profit after reaching +15% MFE)"
2026-06-03,SPY260603P00756000,Put,756,4,2026-06-23T00:42:08.442Z,1.23,2026-06-23T00:42:08.447Z,1.41,72,1088,"Trailing stop: premium 1.41 ≤ 15% give-back from peak 1.81 (trail 1.54; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:42:08.595Z,1.05,2026-06-23T00:42:08.597Z,0.98,-28,1060,"Breakeven stop: premium 0.98 ≤ protected stop 1.05 (raised to entry 1.05 after reaching +10% MFE)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:42:08.603Z,1,2026-06-23T00:42:08.604Z,0.97,-12,1048,"Breakeven stop: premium 0.97 ≤ protected stop 1.00 (raised to entry 1.00 after reaching +10% MFE)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:42:08.620Z,1.15,2026-06-23T00:42:08.620Z,1.17,8,1056,"Profit-lock stop: premium 1.17 ≤ locked stop 1.21 (raised to +5% profit after reaching +15% MFE)"
2026-06-03,SPY260603P00754000,Put,754,4,2026-06-23T00:42:08.939Z,0.83,2026-06-23T00:42:08.939Z,0.94,44,1100,"Trailing stop: premium 0.94 ≤ 15% give-back from peak 1.13 (trail 0.96; armed at +25%)"
2026-06-03,SPY260603P00754000,Put,754,4,2026-06-23T00:42:08.962Z,0.95,2026-06-23T00:42:08.964Z,1.11,64,1164,"Trailing stop: premium 1.11 ≤ 15% give-back from peak 1.36 (trail 1.16; armed at +25%)"
