date,symbol,side,strike,contracts,entryAt,entryPremium,exitAt,exitPremium,pnl,balanceAfter,reason
2026-06-01,SPY260601C00756000,Call,756,2,2026-06-23T00:43:21.177Z,1.4,2026-06-23T00:43:21.180Z,1.08,-64,336,"Stop loss: premium 1.08 ≤ stop 1.12 (20% loss)"
2026-06-01,SPY260601C00756000,Call,756,3,2026-06-23T00:43:21.267Z,0.96,2026-06-23T00:43:21.268Z,0.98,6,342,"Profit-lock stop: premium 0.98 ≤ locked stop 1.01 (raised to +5% profit after reaching +15% MFE)"
2026-06-01,SPY260601C00756000,Call,756,3,2026-06-23T00:43:21.563Z,0.94,2026-06-23T00:43:21.565Z,1.26,96,438,"Trailing stop: premium 1.26 ≤ 15% give-back from peak 1.52 (trail 1.29; armed at +24%)"
2026-06-01,SPY260601C00757000,Call,757,4,2026-06-23T00:43:21.572Z,0.71,2026-06-23T00:43:21.573Z,0.91,80,518,"Trailing stop: premium 0.91 ≤ 15% give-back from peak 1.24 (trail 1.05; armed at +25%)"
2026-06-02,SPY260602C00758000,Call,758,4,2026-06-23T00:43:25.008Z,0.94,2026-06-23T00:43:25.010Z,1.02,32,550,"Trailing stop: premium 1.02 ≤ 15% give-back from peak 1.23 (trail 1.05; armed at +24%)"
2026-06-02,SPY260602C00758000,Call,758,4,2026-06-23T00:43:25.020Z,1.04,2026-06-23T00:43:25.025Z,2.1,424,974,"Trailing stop: premium 2.10 ≤ 15% give-back from peak 2.59 (trail 2.20; armed at +25%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-23T00:43:26.231Z,0.35,2026-06-23T00:43:26.233Z,0.45,40,1014,"Trailing stop: premium 0.45 ≤ 15% give-back from peak 0.57 (trail 0.48; armed at +26%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-23T00:43:26.236Z,0.52,2026-06-23T00:43:26.236Z,0.51,-4,1010,"Profit-lock stop: premium 0.51 ≤ locked stop 0.55 (raised to +5% profit after reaching +15% MFE)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-23T00:43:26.310Z,0.47,2026-06-23T00:43:26.310Z,0.5,12,1022,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00756000,Put,756,3,2026-06-23T00:43:28.408Z,1.27,2026-06-23T00:43:28.409Z,1.21,-18,1004,"Profit-lock stop: premium 1.21 ≤ locked stop 1.33 (raised to +5% profit after reaching +15% MFE)"
2026-06-03,SPY260603P00756000,Put,756,4,2026-06-23T00:43:28.417Z,1.23,2026-06-23T00:43:28.418Z,1.41,72,1076,"Trailing stop: premium 1.41 ≤ 15% give-back from peak 1.81 (trail 1.54; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:43:28.655Z,1.05,2026-06-23T00:43:28.656Z,0.98,-28,1048,"Breakeven stop: premium 0.98 ≤ protected stop 1.05 (raised to entry 1.05 after reaching +10% MFE)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:43:28.660Z,1,2026-06-23T00:43:28.660Z,0.97,-12,1036,"Breakeven stop: premium 0.97 ≤ protected stop 1.00 (raised to entry 1.00 after reaching +10% MFE)"
2026-06-03,SPY260603P00755000,Put,755,3,2026-06-23T00:43:28.675Z,1.36,2026-06-23T00:43:28.676Z,1.42,18,1054,"Profit-lock stop: premium 1.42 ≤ locked stop 1.43 (raised to +5% profit after reaching +15% MFE)"
2026-06-03,SPY260603P00756000,Put,756,4,2026-06-23T00:43:29.298Z,1,2026-06-23T00:43:29.302Z,1.21,84,1138,"Trailing stop: premium 1.21 ≤ 15% give-back from peak 1.47 (trail 1.25; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:43:29.306Z,0.71,2026-06-23T00:43:29.307Z,0.82,44,1182,"Trailing stop: premium 0.82 ≤ 15% give-back from peak 0.97 (trail 0.82; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:43:29.310Z,0.77,2026-06-23T00:43:29.310Z,0.95,72,1254,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:43:29.315Z,1,2026-06-23T00:43:29.315Z,1.01,4,1258,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:43:29.321Z,1.07,2026-06-23T00:43:29.321Z,1.02,-20,1238,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:43:29.402Z,0.66,2026-06-23T00:43:29.402Z,0.91,100,1338,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:43:29.405Z,0.92,2026-06-23T00:43:29.405Z,0.97,20,1358,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:43:29.409Z,0.94,2026-06-23T00:43:29.409Z,1.02,32,1390,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00754000,Put,754,4,2026-06-23T00:43:29.422Z,0.53,2026-06-23T00:43:29.422Z,0.61,32,1422,"Hard flatten: past 14:30 CT cutoff"
2026-06-04,SPY260604C00753000,Call,753,4,2026-06-23T00:43:31.331Z,1.19,2026-06-23T00:43:31.331Z,1.35,64,1486,"Trailing stop: premium 1.35 ≤ 15% give-back from peak 1.63 (trail 1.39; armed at +25%)"
2026-06-05,SPY260605P00748000,Put,748,4,2026-06-23T00:43:36.397Z,1.21,2026-06-23T00:43:36.398Z,1.24,12,1498,"Profit-lock stop: premium 1.24 ≤ locked stop 1.27 (raised to +5% profit after reaching +15% MFE)"
2026-06-05,SPY260605P00748000,Put,748,4,2026-06-23T00:43:36.408Z,1.19,2026-06-23T00:43:36.409Z,1.89,280,1778,"Trailing stop: premium 1.89 ≤ 15% give-back from peak 2.26 (trail 1.92; armed at +25%)"
2026-06-05,SPY260605P00741000,Put,741,4,2026-06-23T00:43:38.901Z,0.7,2026-06-23T00:43:38.901Z,0.88,72,1850,"Trailing stop: premium 0.88 ≤ 15% give-back from peak 1.04 (trail 0.88; armed at +26%)"
2026-06-05,SPY260605P00741000,Put,741,4,2026-06-23T00:43:38.921Z,0.89,2026-06-23T00:43:38.923Z,2.14,500,2350,"Trailing stop: premium 2.14 ≤ 15% give-back from peak 2.99 (trail 2.54; armed at +25%)"
2026-06-08,SPY260608P00741000,Put,741,3,2026-06-23T00:43:44.090Z,1.53,2026-06-23T00:43:44.090Z,1.18,-105,2245,"Stop loss: premium 1.18 ≤ stop 1.22 (20% loss)"
2026-06-08,SPY260608P00740000,Put,740,4,2026-06-23T00:43:44.247Z,1.13,2026-06-23T00:43:44.247Z,1.18,20,2265,"Profit-lock stop: premium 1.18 ≤ locked stop 1.19 (raised to +5% profit after reaching +15% MFE)"
2026-06-08,SPY260608P00741000,Put,741,4,2026-06-23T00:43:44.278Z,0.92,2026-06-23T00:43:44.279Z,1.07,60,2325,"Trailing stop: premium 1.07 ≤ 15% give-back from peak 1.35 (trail 1.15; armed at +25%)"
2026-06-08,SPY260608P00741000,Put,741,4,2026-06-23T00:43:44.284Z,1.07,2026-06-23T00:43:44.285Z,1.01,-24,2301,"Profit-lock stop: premium 1.01 ≤ locked stop 1.12 (raised to +5% profit after reaching +15% MFE)"
