date,symbol,side,strike,contracts,entryAt,entryPremium,exitAt,exitPremium,pnl,balanceAfter,reason
2026-06-01,SPY260601C00756000,Call,756,2,2026-06-23T00:44:45.511Z,1.4,2026-06-23T00:44:45.513Z,1.08,-64,336,"Stop loss: premium 1.08 ≤ stop 1.12 (20% loss)"
2026-06-01,SPY260601C00756000,Call,756,3,2026-06-23T00:44:45.607Z,0.96,2026-06-23T00:44:45.609Z,1.51,165,501,"Trailing stop: premium 1.51 ≤ 15% give-back from peak 1.78 (trail 1.51; armed at +25%)"
2026-06-01,SPY260601C00756000,Call,756,4,2026-06-23T00:44:45.809Z,0.94,2026-06-23T00:44:45.814Z,1.26,128,629,"Trailing stop: premium 1.26 ≤ 15% give-back from peak 1.52 (trail 1.29; armed at +24%)"
2026-06-01,SPY260601C00757000,Call,757,4,2026-06-23T00:44:45.824Z,0.71,2026-06-23T00:44:45.826Z,0.91,80,709,"Trailing stop: premium 0.91 ≤ 15% give-back from peak 1.24 (trail 1.05; armed at +25%)"
2026-06-01,SPY260601C00758000,Call,758,4,2026-06-23T00:44:46.128Z,0.36,2026-06-23T00:44:46.129Z,0.76,160,869,"Trailing stop: premium 0.76 ≤ 15% give-back from peak 0.93 (trail 0.79; armed at +25%)"
2026-06-01,SPY260601C00758000,Call,758,4,2026-06-23T00:44:46.141Z,0.62,2026-06-23T00:44:46.143Z,1.68,424,1293,"Trailing stop: premium 1.68 ≤ 15% give-back from peak 2.02 (trail 1.72; armed at +26%)"
2026-06-02,SPY260602C00758000,Call,758,4,2026-06-23T00:44:49.316Z,0.94,2026-06-23T00:44:49.319Z,1.02,32,1325,"Trailing stop: premium 1.02 ≤ 15% give-back from peak 1.23 (trail 1.05; armed at +24%)"
2026-06-02,SPY260602C00758000,Call,758,4,2026-06-23T00:44:49.326Z,1.04,2026-06-23T00:44:49.332Z,2.1,424,1749,"Trailing stop: premium 2.10 ≤ 15% give-back from peak 2.59 (trail 2.20; armed at +25%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-23T00:44:50.808Z,0.35,2026-06-23T00:44:50.810Z,0.45,40,1789,"Trailing stop: premium 0.45 ≤ 15% give-back from peak 0.57 (trail 0.48; armed at +26%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-23T00:44:50.815Z,0.52,2026-06-23T00:44:50.817Z,0.51,-4,1785,"Trailing stop: premium 0.51 ≤ 15% give-back from peak 0.65 (trail 0.55; armed at +25%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-23T00:44:50.924Z,0.47,2026-06-23T00:44:50.924Z,0.5,12,1797,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00756000,Put,756,3,2026-06-23T00:44:53.251Z,1.27,2026-06-23T00:44:53.255Z,1.41,42,1839,"Trailing stop: premium 1.41 ≤ 15% give-back from peak 1.81 (trail 1.54; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:44:53.402Z,1.05,2026-06-23T00:44:53.407Z,1.32,108,1947,"Trailing stop: premium 1.32 ≤ 15% give-back from peak 1.65 (trail 1.40; armed at +25%)"
2026-06-03,SPY260603P00754000,Put,754,4,2026-06-23T00:44:53.746Z,0.95,2026-06-23T00:44:53.747Z,1.11,64,2011,"Trailing stop: premium 1.11 ≤ 15% give-back from peak 1.36 (trail 1.16; armed at +25%)"
2026-06-03,SPY260603P00756000,Put,756,4,2026-06-23T00:44:54.157Z,1,2026-06-23T00:44:54.160Z,1.21,84,2095,"Trailing stop: premium 1.21 ≤ 15% give-back from peak 1.47 (trail 1.25; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:44:54.164Z,0.71,2026-06-23T00:44:54.165Z,0.82,44,2139,"Trailing stop: premium 0.82 ≤ 15% give-back from peak 0.97 (trail 0.82; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:44:54.169Z,0.77,2026-06-23T00:44:54.171Z,0.95,72,2211,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:44:54.175Z,1,2026-06-23T00:44:54.175Z,1.01,4,2215,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:44:54.179Z,1.07,2026-06-23T00:44:54.179Z,1.02,-20,2195,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:44:54.246Z,0.66,2026-06-23T00:44:54.247Z,0.91,100,2295,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:44:54.253Z,0.92,2026-06-23T00:44:54.253Z,0.97,20,2315,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:44:54.258Z,0.94,2026-06-23T00:44:54.258Z,1.02,32,2347,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00754000,Put,754,4,2026-06-23T00:44:54.275Z,0.53,2026-06-23T00:44:54.276Z,0.61,32,2379,"Hard flatten: past 14:30 CT cutoff"
2026-06-04,SPY260604C00753000,Call,753,3,2026-06-23T00:44:55.891Z,1.48,2026-06-23T00:44:55.891Z,1.15,-99,2280,"Stop loss: premium 1.15 ≤ stop 1.18 (20% loss)"
2026-06-04,SPY260604C00753000,Call,753,4,2026-06-23T00:44:56.179Z,1.19,2026-06-23T00:44:56.180Z,1.35,64,2344,"Trailing stop: premium 1.35 ≤ 15% give-back from peak 1.63 (trail 1.39; armed at +25%)"
2026-06-04,SPY260604C00753000,Call,753,3,2026-06-23T00:44:56.182Z,1.55,2026-06-23T00:44:56.183Z,1.64,27,2371,"Trailing stop: premium 1.64 ≤ 15% give-back from peak 1.96 (trail 1.67; armed at +25%)"
