date,symbol,side,strike,contracts,entryAt,entryPremium,exitAt,exitPremium,pnl,balanceAfter,reason
2026-06-01,SPY260601C00756000,Call,756,2,2026-06-23T00:46:03.267Z,1.4,2026-06-23T00:46:03.272Z,1.08,-64,336,"Stop loss: premium 1.08 ≤ stop 1.12 (20% loss)"
2026-06-01,SPY260601C00756000,Call,756,3,2026-06-23T00:46:03.364Z,0.96,2026-06-23T00:46:03.366Z,1.51,165,501,"Trailing stop: premium 1.51 ≤ 15% give-back from peak 1.78 (trail 1.51; armed at +25%)"
2026-06-01,SPY260601C00756000,Call,756,4,2026-06-23T00:46:03.704Z,0.94,2026-06-23T00:46:03.706Z,1.26,128,629,"Trailing stop: premium 1.26 ≤ 15% give-back from peak 1.52 (trail 1.29; armed at +24%)"
2026-06-01,SPY260601C00757000,Call,757,4,2026-06-23T00:46:03.713Z,0.71,2026-06-23T00:46:03.714Z,0.91,80,709,"Trailing stop: premium 0.91 ≤ 15% give-back from peak 1.24 (trail 1.05; armed at +25%)"
2026-06-02,SPY260602C00758000,Call,758,4,2026-06-23T00:46:07.226Z,0.94,2026-06-23T00:46:07.228Z,1.02,32,741,"Trailing stop: premium 1.02 ≤ 15% give-back from peak 1.23 (trail 1.05; armed at +24%)"
2026-06-02,SPY260602C00758000,Call,758,4,2026-06-23T00:46:07.234Z,1.04,2026-06-23T00:46:07.240Z,2.1,424,1165,"Trailing stop: premium 2.10 ≤ 15% give-back from peak 2.59 (trail 2.20; armed at +25%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-23T00:46:08.645Z,0.35,2026-06-23T00:46:08.646Z,0.45,40,1205,"Trailing stop: premium 0.45 ≤ 15% give-back from peak 0.57 (trail 0.48; armed at +26%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-23T00:46:08.649Z,0.52,2026-06-23T00:46:08.650Z,0.51,-4,1201,"Trailing stop: premium 0.51 ≤ 15% give-back from peak 0.65 (trail 0.55; armed at +25%)"
2026-06-02,SPY260602C00759000,Call,759,4,2026-06-23T00:46:08.744Z,0.47,2026-06-23T00:46:08.744Z,0.5,12,1213,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00756000,Put,756,3,2026-06-23T00:46:10.842Z,1.27,2026-06-23T00:46:10.845Z,1.41,42,1255,"Trailing stop: premium 1.41 ≤ 15% give-back from peak 1.81 (trail 1.54; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:46:11.187Z,1.05,2026-06-23T00:46:11.190Z,1.32,108,1363,"Trailing stop: premium 1.32 ≤ 15% give-back from peak 1.65 (trail 1.40; armed at +25%)"
2026-06-03,SPY260603P00756000,Put,756,4,2026-06-23T00:46:12.129Z,1,2026-06-23T00:46:12.131Z,1.21,84,1447,"Trailing stop: premium 1.21 ≤ 15% give-back from peak 1.47 (trail 1.25; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:46:12.136Z,0.71,2026-06-23T00:46:12.137Z,0.82,44,1491,"Trailing stop: premium 0.82 ≤ 15% give-back from peak 0.97 (trail 0.82; armed at +25%)"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:46:12.141Z,0.77,2026-06-23T00:46:12.142Z,0.95,72,1563,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:46:12.146Z,1,2026-06-23T00:46:12.146Z,1.01,4,1567,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:46:12.149Z,1.07,2026-06-23T00:46:12.149Z,1.02,-20,1547,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:46:12.211Z,0.66,2026-06-23T00:46:12.211Z,0.91,100,1647,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:46:12.215Z,0.92,2026-06-23T00:46:12.215Z,0.97,20,1667,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00755000,Put,755,4,2026-06-23T00:46:12.224Z,0.94,2026-06-23T00:46:12.224Z,1.02,32,1699,"Hard flatten: past 14:30 CT cutoff"
2026-06-03,SPY260603P00754000,Put,754,4,2026-06-23T00:46:12.235Z,0.53,2026-06-23T00:46:12.235Z,0.61,32,1731,"Hard flatten: past 14:30 CT cutoff"
2026-06-04,SPY260604C00753000,Call,753,4,2026-06-23T00:46:14.279Z,1.19,2026-06-23T00:46:14.280Z,1.35,64,1795,"Trailing stop: premium 1.35 ≤ 15% give-back from peak 1.63 (trail 1.39; armed at +25%)"
2026-06-05,SPY260605P00748000,Put,748,4,2026-06-23T00:46:19.227Z,1.21,2026-06-23T00:46:19.229Z,1.89,272,2067,"Trailing stop: premium 1.89 ≤ 15% give-back from peak 2.26 (trail 1.92; armed at +25%)"
2026-06-05,SPY260605P00741000,Put,741,4,2026-06-23T00:46:21.706Z,0.7,2026-06-23T00:46:21.706Z,0.88,72,2139,"Trailing stop: premium 0.88 ≤ 15% give-back from peak 1.04 (trail 0.88; armed at +26%)"
2026-06-05,SPY260605P00741000,Put,741,4,2026-06-23T00:46:21.729Z,0.89,2026-06-23T00:46:21.734Z,2.14,500,2639,"Trailing stop: premium 2.14 ≤ 15% give-back from peak 2.99 (trail 2.54; armed at +25%)"
2026-06-08,SPY260608P00741000,Put,741,3,2026-06-23T00:46:26.997Z,1.53,2026-06-23T00:46:26.998Z,1.18,-105,2534,"Stop loss: premium 1.18 ≤ stop 1.22 (20% loss)"
2026-06-08,SPY260608P00740000,Put,740,4,2026-06-23T00:46:27.178Z,1.13,2026-06-23T00:46:27.179Z,0.86,-108,2426,"Stop loss: premium 0.86 ≤ stop 0.90 (20% loss)"
2026-06-09,SPY260609P00744000,Put,744,3,2026-06-23T00:46:29.264Z,1.46,2026-06-23T00:46:29.266Z,3.53,621,3047,"Trailing stop: premium 3.53 ≤ 15% give-back from peak 4.95 (trail 4.21; armed at +25%)"
2026-06-09,SPY260609P00732000,Put,732,3,2026-06-23T00:46:36.892Z,1.38,2026-06-23T00:46:36.893Z,0.96,-126,2921,"Stop loss: premium 0.96 ≤ stop 1.10 (20% loss)"
2026-06-09,SPY260609P00733000,Put,733,3,2026-06-23T00:46:36.902Z,1.65,2026-06-23T00:46:36.902Z,1.09,-168,2753,"Stop loss: premium 1.09 ≤ stop 1.32 (20% loss)"
2026-06-10,SPY260610P00734000,Put,734,2,2026-06-23T00:46:40.057Z,2.33,2026-06-23T00:46:40.058Z,2.65,64,2817,"Trailing stop: premium 2.65 ≤ 15% give-back from peak 3.72 (trail 3.16; armed at +25%)"
2026-06-10,SPY260610P00729000,Put,729,2,2026-06-23T00:46:42.518Z,1.69,2026-06-23T00:46:42.519Z,1.8,22,2839,"Trailing stop: premium 1.80 ≤ 15% give-back from peak 2.16 (trail 1.84; armed at +25%)"
2026-06-10,SPY260610P00729000,Put,729,3,2026-06-23T00:46:42.534Z,1.51,2026-06-23T00:46:42.535Z,1.4,-33,2806,"Trailing stop: premium 1.40 ≤ 15% give-back from peak 2.30 (trail 1.95; armed at +25%)"
2026-06-10,SPY260610P00729000,Put,729,3,2026-06-23T00:46:42.688Z,1.37,2026-06-23T00:46:42.689Z,2.15,234,3040,"Trailing stop: premium 2.15 ≤ 15% give-back from peak 2.56 (trail 2.18; armed at +25%)"
2026-06-10,SPY260610P00727000,Put,727,4,2026-06-23T00:46:43.206Z,1.12,2026-06-23T00:46:43.207Z,0.89,-92,2948,"Stop loss: premium 0.89 ≤ stop 0.90 (20% loss)"
2026-06-10,SPY260610P00727000,Put,727,4,2026-06-23T00:46:43.229Z,1.12,2026-06-23T00:46:43.231Z,1.7,232,3180,"Hard flatten: past 14:30 CT cutoff"
2026-06-11,SPY260611C00736000,Call,736,4,2026-06-23T00:46:50.152Z,1.13,2026-06-23T00:46:50.153Z,0.85,-112,3068,"Stop loss: premium 0.85 ≤ stop 0.90 (20% loss)"
2026-06-11,SPY260611C00736000,Call,736,3,2026-06-23T00:46:50.174Z,1.35,2026-06-23T00:46:50.174Z,1,-105,2963,"Stop loss: premium 1.00 ≤ stop 1.08 (20% loss)"
2026-06-12,SPY260612C00740000,Call,740,2,2026-06-23T00:46:52.415Z,2.49,2026-06-23T00:46:52.416Z,2.58,18,2981,"Trailing stop: premium 2.58 ≤ 15% give-back from peak 3.23 (trail 2.75; armed at +25%)"
2026-06-12,SPY260612C00740000,Call,740,2,2026-06-23T00:46:52.786Z,1.69,2026-06-23T00:46:52.787Z,3.46,354,3335,"Trailing stop: premium 3.46 ≤ 15% give-back from peak 4.27 (trail 3.63; armed at +25%)"
2026-06-12,SPY260612C00741000,Call,741,2,2026-06-23T00:46:54.257Z,2.04,2026-06-23T00:46:54.258Z,1.61,-86,3249,"Stop loss: premium 1.61 ≤ stop 1.63 (20% loss)"
2026-06-12,SPY260612C00740000,Call,740,2,2026-06-23T00:46:54.277Z,1.91,2026-06-23T00:46:54.278Z,2.55,128,3377,"Trailing stop: premium 2.55 ≤ 15% give-back from peak 3.30 (trail 2.80; armed at +25%)"
2026-06-12,SPY260612C00742000,Call,742,3,2026-06-23T00:46:54.386Z,1.34,2026-06-23T00:46:54.387Z,1.46,36,3413,"Trailing stop: premium 1.46 ≤ 15% give-back from peak 1.91 (trail 1.62; armed at +25%)"
2026-06-12,SPY260612C00742000,Call,742,4,2026-06-23T00:46:54.655Z,0.94,2026-06-23T00:46:54.656Z,0.89,-20,3393,"Trailing stop: premium 0.89 ≤ 15% give-back from peak 1.19 (trail 1.01; armed at +24%)"
2026-06-12,SPY260612C00742000,Call,742,4,2026-06-23T00:46:54.678Z,0.87,2026-06-23T00:46:54.679Z,0.67,-80,3313,"Stop loss: premium 0.67 ≤ stop 0.70 (20% loss)"
2026-06-12,SPY260612C00742000,Call,742,4,2026-06-23T00:46:54.689Z,0.66,2026-06-23T00:46:54.690Z,0.77,44,3357,"Trailing stop: premium 0.77 ≤ 15% give-back from peak 0.94 (trail 0.80; armed at +26%)"
2026-06-12,SPY260612C00741000,Call,741,4,2026-06-23T00:46:54.787Z,0.46,2026-06-23T00:46:54.787Z,0.78,128,3485,"Hard flatten: past 14:30 CT cutoff"
2026-06-12,SPY260612C00741000,Call,741,4,2026-06-23T00:46:54.790Z,0.66,2026-06-23T00:46:54.791Z,0.55,-44,3441,"Hard flatten: past 14:30 CT cutoff"
2026-06-15,SPY260615C00754000,Call,754,4,2026-06-23T00:46:56.749Z,1.12,2026-06-23T00:46:56.750Z,0.9,-88,3353,"Stop loss: premium 0.90 ≤ stop 0.90 (20% loss)"
2026-06-15,SPY260615C00753000,Call,753,3,2026-06-23T00:46:56.764Z,1.38,2026-06-23T00:46:56.774Z,3.24,558,3911,"Trailing stop: premium 3.24 ≤ 15% give-back from peak 3.83 (trail 3.26; armed at +25%)"
2026-06-15,SPY260615C00755000,Call,755,4,2026-06-23T00:46:58.162Z,0.5,2026-06-23T00:46:58.165Z,0.65,60,3971,"Trailing stop: premium 0.65 ≤ 15% give-back from peak 0.77 (trail 0.65; armed at +26%)"
2026-06-16,SPY260616P00754000,Put,754,4,2026-06-23T00:47:00.358Z,1,2026-06-23T00:47:00.362Z,1.8,320,4291,"Trailing stop: premium 1.80 ≤ 15% give-back from peak 2.26 (trail 1.92; armed at +25%)"
2026-06-16,SPY260616P00753000,Put,753,4,2026-06-23T00:47:00.773Z,1,2026-06-23T00:47:00.774Z,1.09,36,4327,"Trailing stop: premium 1.09 ≤ 15% give-back from peak 1.29 (trail 1.10; armed at +25%)"
2026-06-16,SPY260616P00752000,Put,752,4,2026-06-23T00:47:01.069Z,0.79,2026-06-23T00:47:01.070Z,1,84,4411,"Trailing stop: premium 1.00 ≤ 15% give-back from peak 1.20 (trail 1.02; armed at +25%)"
2026-06-16,SPY260616P00753000,Put,753,4,2026-06-23T00:47:01.123Z,0.71,2026-06-23T00:47:01.127Z,0.94,92,4503,"Trailing stop: premium 0.94 ≤ 15% give-back from peak 1.21 (trail 1.03; armed at +25%)"
2026-06-16,SPY260616P00753000,Put,753,4,2026-06-23T00:47:01.157Z,1.07,2026-06-23T00:47:01.160Z,1.1,12,4515,"Trailing stop: premium 1.10 ≤ 15% give-back from peak 1.42 (trail 1.21; armed at +25%)"
2026-06-16,SPY260616P00752000,Put,752,4,2026-06-23T00:47:01.184Z,0.67,2026-06-23T00:47:01.185Z,0.84,68,4583,"Trailing stop: premium 0.84 ≤ 15% give-back from peak 1.04 (trail 0.88; armed at +25%)"
2026-06-16,SPY260616P00752000,Put,752,4,2026-06-23T00:47:01.197Z,0.74,2026-06-23T00:47:01.198Z,0.58,-64,4519,"Stop loss: premium 0.58 ≤ stop 0.59 (20% loss)"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-23T00:47:01.557Z,0.29,2026-06-23T00:47:01.557Z,0.32,12,4531,"Trailing stop: premium 0.32 ≤ 15% give-back from peak 0.42 (trail 0.36; armed at +24%)"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-23T00:47:01.562Z,0.3,2026-06-23T00:47:01.562Z,0.31,4,4535,"Trailing stop: premium 0.31 ≤ 15% give-back from peak 0.43 (trail 0.37; armed at +27%)"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-23T00:47:01.566Z,0.39,2026-06-23T00:47:01.567Z,0.86,188,4723,"Trailing stop: premium 0.86 ≤ 15% give-back from peak 1.07 (trail 0.91; armed at +26%)"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-23T00:47:01.619Z,0.49,2026-06-23T00:47:01.619Z,0.55,24,4747,"Hard flatten: past 14:30 CT cutoff"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-23T00:47:01.630Z,0.71,2026-06-23T00:47:01.630Z,0.62,-36,4711,"Hard flatten: past 14:30 CT cutoff"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-23T00:47:01.634Z,0.68,2026-06-23T00:47:01.634Z,0.69,4,4715,"Hard flatten: past 14:30 CT cutoff"
2026-06-16,SPY260616P00750000,Put,750,4,2026-06-23T00:47:01.947Z,0.3,2026-06-23T00:47:01.947Z,0.31,4,4719,"Hard flatten: past 14:30 CT cutoff"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-23T00:47:02.000Z,0.38,2026-06-23T00:47:02.000Z,0.63,100,4819,"Hard flatten: past 14:30 CT cutoff"
2026-06-16,SPY260616P00751000,Put,751,4,2026-06-23T00:47:02.020Z,0.65,2026-06-23T00:47:02.020Z,0.51,-56,4763,"Hard flatten: past 14:30 CT cutoff"
2026-06-17,SPY260617P00749000,Put,749,2,2026-06-23T00:47:05.104Z,2.37,2026-06-23T00:47:05.105Z,1.88,-98,4665,"Stop loss: premium 1.88 ≤ stop 1.90 (20% loss)"
2026-06-17,SPY260617P00750000,Put,750,2,2026-06-23T00:47:05.362Z,2.26,2026-06-23T00:47:05.367Z,1.65,-122,4543,"Stop loss: premium 1.65 ≤ stop 1.81 (20% loss)"
